A	a
a	ɑ
à	a
aa	a.a
aâda	a.ɑ.da
aalandaise	a.a.lɑ̃.dɛz
aalénien	a.le.njɛ̃
Aalénien	a.le.njɛ̃
aaronaise	a.a.ʁɔ.nɛz
aastaise	a.as.tɛz
ababouiné	a.ba.bwi.ne
abaca	a.ba.ka
abacost	a.ba.kɔst
abactérienne	a.bak.te.ʁjɛn
abacule	a.ba.kyl
abader	a.ba.de
abainvilloise	a.bɛ̃.vi.jwaz
abaissé	a.be.se
abaisseur	a.bɛ.sœʁ
abajoue	a.ba.ʒu
abalone	a.ba.lɔn
abalourdir	a.ba.luʁ.diʁ
abancourtoise	a.bɑ̃.kuʁ.twaz
abandon	a.bɑ̃.dɔ̃
abandonner	a.bɑ̃.dɔ.ne
abandonneur	a.bɑ̃.dɔ.nœʁ
abandouner	a.bɑ̃.du.ne
abaque	a.bak
abasie	a.ba.zi
abasourdîmes	a.ba.zuʁ.dim
abasourdir	a.ba.zuʁ.diʁ
abasourdir	a.ba.suʁ.diʁ
abasourdira	a.ba.zuʁ.di.ʁa
abasourdirai	a.ba.zuʁ.di.ʁe
abasourdiraient	a.ba.zuʁ.di.ʁɛ
abasourdirais	a.ba.zuʁ.di.ʁɛ
abasourdirait	a.ba.zuʁ.di.ʁɛ
abasourdiras	a.ba.zuʁ.di.ʁɑ
abasourdirent	a.ba.zuʁ.diʁ
abasourdirez	a.ba.zuʁ.di.ʁe
abasourdiriez	a.ba.zuʁ.di.ʁje
abasourdirions	a.ba.zuʁ.di.ʁjɔ̃
abasourdirons	a.ba.zuʁ.di.ʁɔ̃
abasourdiront	a.ba.zuʁ.di.ʁɔ̃
abasourdissaient	a.ba.zuʁ.di.sɛ
abasourdissais	a.ba.zuʁ.di.sɛ
abasourdissait	a.ba.zuʁ.di.sɛ
abasourdissant	a.ba.zuʁ.di.sɑ̃
abasourdisse	a.ba.zuʁ.dis
abasourdissement	a.ba.zuʁ.dis.mɑ̃
abasourdissent	a.ba.zuʁ.dis
abasourdisses	a.ba.zuʁ.dis
